,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
322,nytimes,California has dug in at the front lines of the resistance to President Trump. And then there is Orange County. https://t.co/BSVW14kSmd,2018-06-09 17:40:03+00:00,0.0,0.0,0.0,1.0,323
323,nytimes,"What to watch, what to read and what to listen to by and about Anthony Bourdain https://t.co/TR5noBS7Ee",2018-06-09 17:25:03+00:00,0.0,0.0,0.0,1.0,324
324,nytimes,"Who’s right, Elon Musk or Mark Zuckerberg? Is supersmart artificial intelligence a potential threat to humans, or a… https://t.co/8zay2rbSEG",2018-06-09 17:10:03+00:00,-0.0772,0.138,0.151,0.711,325
325,nytimes,"RT @stanfordc: I’m proud to say that there has never been a swimsuit portion of the news quiz 
https://t.co/e1Z8wlhYvy https://t.co/4YJ7UrG…",2018-06-09 17:00:23+00:00,0.4767,0.147,0.0,0.853,326
326,nytimes,"30 billion gallons of Hawaiian lava, as seen from the ground and space https://t.co/vz9qQOCYS9",2018-06-09 16:45:09+00:00,0.0,0.0,0.0,1.0,327
327,nytimes,She wanted to celebrate their marriage in lavish style. He had something less lofty in mind. A lovers’ battle ensue… https://t.co/RnvIaxRtRP,2018-06-09 16:30:07+00:00,0.2732,0.152,0.107,0.741,328
328,nytimes,"Anthony Bourdain's sudden death at Le Chambard, a hotel in the village of Kaysersberg in northeastern France, sent… https://t.co/V5gRoZKGQN",2018-06-09 16:15:02+00:00,-0.5994,0.0,0.187,0.813,329
329,nytimes,"@jimdwyernyt ""The supply of excellent schools cannot meet the demands of capable students, whatever their backgroun… https://t.co/KF39XvdUjJ",2018-06-09 16:01:00+00:00,0.743,0.296,0.0,0.704,330
330,nytimes,"@jimdwyernyt The specialized schools are far from bastions of privilege, dominated by immigrants or the children of… https://t.co/DWOoiPghSz",2018-06-09 15:58:00+00:00,0.3612,0.128,0.0,0.872,331
331,nytimes,"In New York’s ragged history of race, class, privilege and equity, the city’s specialized high schools have long be… https://t.co/HL2yw2JmHz",2018-06-09 15:55:03+00:00,0.3612,0.116,0.0,0.884,332
